# Sanae · Italiano. One `English<TAB>Italiano` per line. Keys are the English strings in the code.
Store	Negozio
Search	Cerca
Installed	Installati
Updates	Aggiornamenti
Queue	Coda
Recipes	Ricette
Settings	Impostazioni
Info	Info
Dependencies	Dipendenze
Files	File
PKGBUILD	PKGBUILD
all	tutti
explicit	espliciti
dependencies	dipendenze
orphans	orfani
AUR / local	AUR / locali
? help  q quit	? aiuto  q esci
Featured	In evidenza
Internet	Internet
Multimedia	Multimedia
Graphics	Grafica
Office	Ufficio
Development	Sviluppo
Games	Giochi
Education	Istruzione
System	Sistema
Utilities	Utilità
Other	Altro
 Shelves 	 Scaffali 
most installed apps you do not have yet	le app più installate che ancora non hai
by popularity	per popolarità
 {} · {} apps 	 {} · {} app 
No AppStream catalog found.\n\nInstall archlinux-appstream-data (sudo pacman -S archlinux-appstream-data) and press r.\nThe Search tab works without it.	Nessun catalogo AppStream trovato.\n\nInstalla archlinux-appstream-data (sudo pacman -S archlinux-appstream-data) e premi r.\nLa scheda Cerca funziona anche senza.
type · Enter or ↓ to the results	scrivi · Invio o ↓ verso i risultati
/ to type · Esc clears	/ per scrivere · Esc cancella
  searching the AUR…	  cerco nell'AUR…
 Search 	 Cerca 
 {} results 	 {} risultati 
 Installed · {} 	 Installati · {} 
 {} packages · f changes the filter · o queues the orphans 	 {} pacchetti · f cambia il filtro · o mette in coda gli orfani 
 Arch news 	 Notizie Arch 
 read before updating 	 da leggere prima di aggiornare 
Checking for updates…	Controllo aggiornamenti…
 Updates 	 Aggiornamenti 
Everything is up to date.	È tutto aggiornato.
 {} updates 	 {} aggiornamenti 
 u or Enter updates everything 	 u o Invio aggiorna tutto 
 Queue · {} 	 Coda · {} 
 a applies · d drops one · c clears 	 a applica · d ne toglie uno · c svuota 
Mark packages with space anywhere; they show up here.	Segna i pacchetti con spazio ovunque; compaiono qui.
Asking pacman what it would do…	Chiedo a pacman cosa farebbe…
Install ({}), {} to download	Installa ({}), {} da scaricare
Remove ({})	Rimuovi ({})
 What will happen 	 Cosa succederà 
 Recipes 	 Ricette 
 install and leave it configured · Enter applies 	 installa e lascia configurato · Invio applica 
packages   	pacchetti  
aur        	aur        
services   	servizi    
groups     	gruppi     
files      	file       
environment	ambiente   
commands   	comandi    
\nAlready applied. Enter applies it again (safe).	\nGià applicata. Invio la applica di nuovo (sicuro).
\nNot applied yet.	\nNon ancora applicata.
 What it does 	 Cosa fa 
Nothing selected.	Niente selezionato.
 Details 	 Dettagli 
 Tab switches 	 Tab cambia 
source	fonte
installed	installato
no	no
explicitly	esplicitamente
as a dependency	come dipendenza
size	dimensione
{} installed	{} installato
, {} download	, {} da scaricare
popularity	popolarità
{} · {} votes	{} · {} voti
{}% of Arch systems have it	{}% dei sistemi Arch ce l'ha
license	licenza
url	url
maintainer	manutentore
flagged	segnalato
OUT OF DATE since {}	NON AGGIORNATO dal {}
groups	gruppi
categories	categorie
screenshots	schermate
built	compilato
