# Sanae · Português. One `English<TAB>Português` per line. Keys are the English strings in the code.
Store	Loja
Search	Buscar
Installed	Instalados
Updates	Atualizações
Queue	Fila
Recipes	Receitas
Settings	Configurações
Info	Info
Dependencies	Dependências
Files	Arquivos
PKGBUILD	PKGBUILD
all	todos
explicit	explícitos
dependencies	dependências
orphans	órfãos
AUR / local	AUR / local
? help  q quit	? ajuda  q sair
Featured	Destaques
Internet	Internet
Multimedia	Multimídia
Graphics	Gráficos
Office	Escritório
Development	Desenvolvimento
Games	Jogos
Education	Educação
System	Sistema
Utilities	Utilitários
Other	Outros
 Shelves 	 Prateleiras 
most installed apps you do not have yet	os apps mais instalados que você ainda não tem
by popularity	por popularidade
 {} · {} apps 	 {} · {} apps 
No AppStream catalog found.\n\nInstall archlinux-appstream-data (sudo pacman -S archlinux-appstream-data) and press r.\nThe Search tab works without it.	Nenhum catálogo AppStream encontrado.\n\nInstale archlinux-appstream-data (sudo pacman -S archlinux-appstream-data) e pressione r.\nA aba Buscar funciona sem ele.
type · Enter or ↓ to the results	digite · Enter ou ↓ para os resultados
/ to type · Esc clears	/ para digitar · Esc limpa
  searching the AUR…	  buscando no AUR…
 Search 	 Buscar 
 {} results 	 {} resultados 
 Installed · {} 	 Instalados · {} 
 {} packages · f changes the filter · o queues the orphans 	 {} pacotes · f muda o filtro · o põe os órfãos na fila 
 Arch news 	 Notícias do Arch 
 read before updating 	 leia antes de atualizar 
Checking for updates…	Verificando atualizações…
 Updates 	 Atualizações 
Everything is up to date.	Está tudo atualizado.
 {} updates 	 {} atualizações 
 u or Enter updates everything 	 u ou Enter atualiza tudo 
 Queue · {} 	 Fila · {} 
 a applies · d drops one · c clears 	 a aplica · d tira um · c limpa 
Mark packages with space anywhere; they show up here.	Marque pacotes com espaço em qualquer lugar; eles aparecem aqui.
Asking pacman what it would do…	Perguntando ao pacman o que ele faria…
Install ({}), {} to download	Instalar ({}), {} para baixar
Remove ({})	Remover ({})
 What will happen 	 O que vai acontecer 
 Recipes 	 Receitas 
 install and leave it configured · Enter applies 	 instala e deixa configurado · Enter aplica 
packages   	pacotes    
aur        	aur        
services   	serviços   
groups     	grupos     
files      	arquivos   
environment	ambiente   
commands   	comandos   
Already applied. Enter applies it again (safe).	Já aplicada. Enter aplica de novo (seguro).
Not applied yet.	Ainda não aplicada.
 What it does 	 O que faz 
Nothing selected.	Nada selecionado.
 Details 	 Detalhes 
 Tab switches 	 Tab alterna 
source	fonte
installed	instalado
no	não
explicitly	explicitamente
as a dependency	como dependência
size	tamanho
{} installed	{} instalado
, {} download	, {} para baixar
popularity	popularidade
{} · {} votes	{} · {} votos
{}% of Arch systems have it	{}% dos sistemas Arch têm
license	licença
url	url
maintainer	mantenedor
flagged	sinalizado
OUT OF DATE since {}	DESATUALIZADO desde {}
groups	grupos
categories	categorias
screenshots	capturas
built	compilado
 by {}	 por {}
loading…	carregando…
depends on	depende de
optional	opcionais
build needs	para compilar
provides	fornece
conflicts	conflitos
required by	exigido por
optional for	opcional para
no dependencies	sem dependências
green = installed	verde = instalado
{} files	{} arquivos
(only AUR packages have a PKGBUILD to show)	(só pacotes do AUR têm um PKGBUILD para mostrar)
(AUR packages list their files only once installed)	(pacotes do AUR só listam seus arquivos depois de instalados)
 Made by Chidaruma · like it? star it at github.com/Chidaruma696	 Feito por Chidaruma · gostou? deixe uma estrela em github.com/Chidaruma696
shelves/apps	prateleiras/apps
move	mover
mark	marcar
install now	instalar agora
open	abrir
details	detalhes
apply queue	aplicar a fila
help	ajuda
quit	sair
type	digitar
mark remove	marcar p/ remover
filter	filtro
queue orphans	órfãos na fila
update everything	atualizar tudo
reload	recarregar
apply	aplicar
drop line	tirar a linha
clear	limpar
scroll	rolar
apply recipe	aplicar a receita
toggle / apply	alternar / aplicar
Check for a newer Sanae at start	Procurar um Sanae mais novo ao abrir
Update Sanae now	Atualizar o Sanae agora
AUR helper	Ajudante do AUR
Administrator tool	Ferramenta de administrador
Nerd Font marks	Marcas em Nerd Font
Language	Idioma
on	sim
off	não
{} available (you run v{})	{} disponível (você usa a v{})
v{} · Enter fetches the latest release	v{} · Enter baixa a versão mais recente
auto ({})	auto ({})
none found	nenhum encontrado
auto (from the environment)	auto (do ambiente)
 Settings 	 Configurações 
 Enter toggles a setting or enables a source 	 Enter alterna uma configuração ou ativa uma fonte 
Once every few hours Sanae asks GitHub whether a newer release exists and tells you in the status line. Nothing is downloaded until you ask.	A cada poucas horas o Sanae pergunta ao GitHub se existe uma versão mais nova e avisa na linha de status. Nada é baixado até você pedir.
Downloads the latest release binary and replaces this one (needs your password). Sanae is a single file, so this is the whole update.	Baixa o binário da versão mais recente e substitui este (precisa da sua senha). O Sanae é um único arquivo, então essa é toda a atualização.
The program that builds AUR packages for you: paru or yay. Auto picks whichever is installed.	O programa que compila pacotes do AUR para você: paru ou yay. Auto escolhe o que estiver instalado.
How Sanae becomes root to run pacman: sudo or doas. Auto picks whichever is installed.	Como o Sanae vira root para rodar o pacman: sudo ou doas. Auto escolhe o que estiver instalado.
Use Nerd Font glyphs for the marks in lists. Only if your terminal font has them.	Usar glifos Nerd Font nas marcas das listas. Só se a fonte do seu terminal tiver.
The language of this interface. Auto follows the system language.	O idioma desta interface. Auto segue o idioma do sistema.
Already enabled.	Já ativada.
Not enabled. Enter enables it.	Não ativada. Enter ativa.
Sanae and Reimu are made by Chidaruma. Do you like them? Visit github.com/Chidaruma696 and leave a star.	O Sanae e o Reimu são feitos por Chidaruma. Gostou? Visite github.com/Chidaruma696 e deixe uma estrela.
 About 	 Sobre 
 step {}/{} 	 passo {}/{} 
 output 	 saída 
 ✖ failed · Enter or Esc to go back 	 ✖ falhou · Enter ou Esc para voltar 
